# 
# This CSV file is accompanying the paper Vida et al. (2018) "Modeling the measurement accuracy of 
# pre-atmosphere velocities of meteoroids".
# 
# The file contains fits of delta_v (in m/s) to the zenith angle (in radians) for every simulated observing 
# system:
#     0 - ASGARD-like allsky fireball system
#     1 - CAMS-like moderate FOV system
#     2 - CAMO-like image intensified narrow-field system
# 
# and for every simulated meteoroid type:
#     0 - cometary
#     1 - asteroidal
#     2 - iron
# 
# delta_v is the difference between the measured initial velocity and the true pre-atmosphere velocity. Thus if 
# one want to obtain the deceleration-corrected value of the initial velocity, the following expression can be 
# used:
# 
#     v_inf = v_init + delta_v
# 
# where delta_v and can be computed from the table below using the following expression:
# 
#     delta_v = x0 + x1*z + x2*z^2 + x3*z^3 + x4*z^4 + x5*z^5 + x6*z^6
# 
# Where z is the zenith angle in radians and coefficients x are listed below in the table. The table lists 
# discrete values of velocities and peak magnitudes for which the fits are valid. If one wants to compute 
# delta_v for a given meteor of known initial velocity, peak magnitude and zenith angle, a lookup for a 
# particular system, meteoroid type (can be guessed from the beginning height), velocity and peak magnitude has 
# to be performed. If one needs an estimate for delta_v for non-discrete values of velocity, linear 
# interpolation between two values of delta_v for neighbouring discrete values of velocities will provide a 
# sufficiently precise approximation.
# 
# System type;Meteoroid type;Velocity (m/s);Peak magnitude;x0;x1;x2;x3;x4;x5;x6
0;0;71000;-7.75;-3.446084e+00;-5.622880e-02;-2.985215e+00;1.337650e+01;-2.397949e+01;1.874849e+01;-5.529042e+00
0;0;71000;-7.42;-3.641203e+00;-3.426490e-01;-5.182108e+00;2.739165e+01;-5.044519e+01;3.945816e+01;-1.140675e+01
0;0;71000;-7.10;-3.912276e+00;-8.746397e-01;4.355916e+00;-9.433459e+00;7.193412e+00;-7.284748e-01;-1.112329e+00
0;0;71000;-6.78;-4.507095e+00;3.000707e-01;2.848702e-01;-3.413710e+00;1.991001e+00;2.131590e+00;-1.973158e+00
0;0;71000;-6.45;-4.801067e+00;-1.587745e-01;9.857363e-01;-1.731128e+00;-3.494136e+00;7.015305e+00;-3.518191e+00
0;0;71000;-6.13;-5.198371e+00;5.163292e-01;-4.777056e+00;1.678306e+01;-3.315237e+01;2.942271e+01;-1.001104e+01
0;0;71000;-5.81;-5.628701e+00;1.233292e+00;-1.581494e+01;5.816501e+01;-1.057131e+02;8.821296e+01;-2.781990e+01
0;0;71000;-5.49;-6.586855e+00;6.335622e-01;-8.709275e+00;3.349323e+01;-6.457447e+01;5.530608e+01;-1.812928e+01
0;0;71000;-5.16;-7.322148e+00;2.383567e+00;-2.535729e+01;8.922965e+01;-1.509627e+02;1.173073e+02;-3.507749e+01
0;0;71000;-4.84;-8.207074e+00;1.946019e+00;-1.943001e+01;6.615423e+01;-1.160673e+02;9.416782e+01;-2.980756e+01
