# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.300000000000000000e+04;0.000000000000000000e+00;1.742430459206838833e+01;-3.612370641636420032e+01;-1.097072284269477380e-02;1.921615630683091069e+01;-1.320027156034634430e+01;1.532633421594531910e+03;7.761462633488006801e+00
1.400000000000000000e+04;0.000000000000000000e+00;-1.990944993946714874e+02;5.221343560318114640e+01;-1.908428105288588196e-05;1.114271451809352875e+01;-1.324673562518673631e+00;7.133849179102044218e+02;-4.192106367280497570e-01
1.500000000000000000e+04;0.000000000000000000e+00;-1.335579616342093630e+02;2.250517679376238078e+01;-2.824643127935208529e-06;1.586271670008827250e+01;-4.548571302147099260e+00;1.163298921623575916e+04;-3.253344569717994683e-01
1.600000000000000000e+04;0.000000000000000000e+00;-3.022061987555282485e+02;6.373400703668560929e+00;-2.125893948135090652e-06;1.302289670718706560e+01;-8.329414694853862766e-01;6.723728852194205956e+02;-7.925811557690050357e-02
1.700000000000000000e+04;0.000000000000000000e+00;-3.033561173495430694e+02;-4.857954691787471635e-01;-1.676807763839129153e-06;1.282672730107226933e+01;-8.333847704706689452e-01;6.818617676662441909e+02;-6.836148021673826847e-02
1.800000000000000000e+04;0.000000000000000000e+00;-3.309515907417448943e+01;-1.774854483938409899e+01;-1.529029106625027883e-02;4.009784613571792278e+00;4.877631094681727397e+00;2.207522573177034542e-01;1.520335285385181479e+00
1.900000000000000000e+04;0.000000000000000000e+00;-5.249019495258040457e-01;-3.319151337623935660e+01;-8.743875352642379539e+02;7.189161029755897658e+00;-1.009912398978976000e+01;6.844357302323220938e+04;2.948313653073868057e+00
2.000000000000000000e+04;0.000000000000000000e+00;-3.196554293848774932e+02;7.397962793504397006e+00;-1.626212019548845659e-07;1.184376807373074492e+01;-7.557632976806935021e-01;6.671271598892901693e+02;-9.843891601919947665e-02
2.100000000000000000e+04;0.000000000000000000e+00;-1.831290896563956938e+00;-2.234664891509320483e+01;-3.491718117617582107e-01;1.035241754835885786e+01;-6.383842856142663003e+00;1.171833022047756145e+02;4.495753140016391924e+00
2.200000000000000000e+04;0.000000000000000000e+00;-8.517481719427179021e-01;-2.200344932263061537e+01;-6.459956371306967426e+00;1.135348099755291962e+01;-1.118215176762821272e+01;2.276782411345960099e+03;5.216019103393056966e+00
2.300000000000000000e+04;0.000000000000000000e+00;-2.608616878161056918e-01;-2.077430025643846534e+01;-7.054395436683752223e+02;9.669314620531736182e+00;-1.459619169853831977e+01;9.479045233118638862e+03;5.784169613273374644e+00
2.400000000000000000e+04;0.000000000000000000e+00;-2.781363448239927649e+01;1.998844779397700222e+01;-3.168924995214239360e+01;3.576300241402800673e+00;-4.151308823533033987e+00;1.536528884009975854e+03;-2.704043666451013905e+00
2.500000000000000000e+04;0.000000000000000000e+00;-3.794445748379273908e+01;1.730357778585933559e+01;-1.290178027887269607e+01;4.599624415492086449e+00;-4.908691002107300250e+00;4.426852019873108475e+03;-1.804181247502046448e+00
2.600000000000000000e+04;0.000000000000000000e+00;2.345599201155023295e+00;-2.549390799505675531e+01;-6.143284814593529575e+01;1.646716884356546373e+01;-2.161116344859294713e+01;3.183650784255585468e-05;2.094906004468531791e+01
2.700000000000000000e+04;0.000000000000000000e+00;-5.364300389926387425e+01;1.636455600634895191e+01;-6.424277197199480760e+00;4.851497313413951851e+00;-5.090463693349813745e+00;7.878417667813817388e+03;-1.042137469363369595e+00
2.800000000000000000e+04;0.000000000000000000e+00;-3.209159208568012787e+02;3.756181976984992588e+01;-2.247122535533617368e-06;1.286914200302092226e+01;-7.949150882128093176e-01;6.720536425522171839e+02;-1.526861468479019379e-01
2.900000000000000000e+04;0.000000000000000000e+00;-3.173745403399963720e+02;2.369823299422409235e+01;-2.096421517139691375e-06;1.296713867105524898e+01;-8.035115644911462462e-01;6.746942323497327152e+02;-1.063271833810953831e-01
3.000000000000000000e+04;0.000000000000000000e+00;-3.174590616094608890e+02;3.934279588310896258e+01;-9.727300690025289637e-07;1.321784855272712988e+01;-8.004983264211837923e-01;6.740927524062641396e+02;-1.680065671425454710e-01
3.100000000000000000e+04;0.000000000000000000e+00;-3.214347920985190399e+02;2.168309474616575017e+01;-8.839382526906993512e-06;1.182965306003574213e+01;-7.843876315421579593e-01;6.717161966605269754e+02;-9.166933205820075592e-02
3.200000000000000000e+04;0.000000000000000000e+00;-3.435264655075626479e+02;2.370379129953252928e+01;-2.440827533621172271e-06;1.248541651698128696e+01;-7.459364904217146153e-01;6.929800531365436882e+02;-9.536516342934027446e-02
3.300000000000000000e+04;0.000000000000000000e+00;-3.115313742394408791e+02;1.858554521407041449e+01;-1.549836091376054041e-05;1.132965068618802107e+01;-8.039252259529442446e-01;6.669592554140334641e+02;-8.358982608918606727e-02
3.400000000000000000e+04;0.000000000000000000e+00;3.673640741722009295e+01;-5.345505038523086938e+01;-2.458216014834866899e-06;1.492480093987440704e+01;-4.059159022249575699e+00;-2.726721487233812695e+03;-3.458029898519060730e+00
3.500000000000000000e+04;0.000000000000000000e+00;-3.105212874454334724e+02;1.957796357549762778e+00;-1.600743784248969271e-05;1.126350425262538657e+01;-8.020515866105111247e-01;6.671002200350832254e+02;-3.257682248393964364e-02
3.600000000000000000e+04;0.000000000000000000e+00;-1.208445276145833347e+01;6.671481710889615169e-01;7.939279251094545631e-02;1.428053958657468847e+01;-9.544116950518755971e+00;-9.049354203342763867e+02;5.481668198825754068e+00
