# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.300000000000000000e+04;0.000000000000000000e+00;-3.126857849053126301e+02;-7.414156781002246177e+00;-5.702392759741952706e-07;1.332415001207504268e+01;-6.980858757402255144e-01;6.700222867787141467e+02;-1.594337475283112010e-02
1.400000000000000000e+04;0.000000000000000000e+00;-3.223056317435163010e+02;-2.691207309833288708e+00;-7.116480174555334750e-07;1.313010541403756726e+01;-6.776830659021447767e-01;6.706008088914734344e+02;-3.188379355708815394e-02
1.500000000000000000e+04;0.000000000000000000e+00;-3.023531934313131160e+02;-1.957044182808796107e+00;-5.964549883671757719e-07;1.311682274553288252e+01;-7.354653790819997150e-01;6.676828693620550439e+02;-3.893424055514477233e-02
1.600000000000000000e+04;0.000000000000000000e+00;-3.042750477976458683e+02;3.934507894379725368e+00;-8.813286793159266567e-07;1.100852315888967503e+01;-7.402137400948726187e-01;6.670047999714494154e+02;-5.367826913285510954e-02
1.700000000000000000e+04;0.000000000000000000e+00;-3.365764711146646277e+02;8.122479582001188803e+00;2.994810900075803252e-07;1.300078518718351184e+01;-6.509317293024097228e-01;6.695505743293210799e+02;-7.157558713253434068e-02
1.800000000000000000e+04;0.000000000000000000e+00;1.100218890465767707e+01;-1.030960012591352459e+01;-5.798708718361010028e+01;6.678126359881462193e+00;-8.177260136122844969e+00;1.559338830378990451e+03;3.124688781012746830e+00
1.900000000000000000e+04;0.000000000000000000e+00;-5.297694650309450481e+03;1.313228306795023627e+03;7.000135788097167278e+03;-6.035525296586864430e-01;-1.157517670542465460e+00;9.891647387171116861e+03;-1.127376857818000039e-01
2.000000000000000000e+04;0.000000000000000000e+00;1.007529585103116077e+01;-8.333385074583006258e+00;-1.062077811928267329e+04;6.498059237127723264e+00;-1.415484965111278726e+01;2.463269979123127769e+02;6.936121532406126278e+00
2.100000000000000000e+04;0.000000000000000000e+00;-3.339251201239442821e+02;9.439092375881964259e+00;8.271636074515173826e-08;1.354444049237216774e+01;-6.799382282448008796e-01;6.695524217412645385e+02;-6.490991559732932348e-02
2.200000000000000000e+04;0.000000000000000000e+00;7.435965488030523041e+00;-7.251992914960180947e+00;-4.695477267338512423e-03;8.980023246044590124e+00;-2.130126044922704409e+00;3.126447838484942149e-02;5.622812913124160872e+00
2.300000000000000000e+04;0.000000000000000000e+00;7.635312940645886393e+00;-1.086277540689934185e+01;-1.324881861976119879e+01;9.838033467379041497e+00;-1.186493069727390193e+01;4.732414285012130189e-06;1.601247871035715420e+01
2.400000000000000000e+04;0.000000000000000000e+00;5.673660906141813953e+00;-8.968006292974463278e+00;-2.467701383832718662e-05;9.835984316469103206e+00;1.852536801690952917e+00;3.439675880302596120e-05;7.208739371821166309e+00
2.500000000000000000e+04;0.000000000000000000e+00;-2.523972739553679645e+01;2.790733207929760695e+01;-2.713606321692764212e+01;3.090519135210052948e+00;-3.797166633746099418e+00;1.158114191180547323e+03;-1.955854159715399332e+00
2.600000000000000000e+04;0.000000000000000000e+00;-1.029042112835040598e+03;5.253892710607961192e+01;3.355395837139957926e+00;-1.647028652942050542e+02;9.914926586180881074e-01;3.771437859766787710e+02;-4.585913084904915532e-02
2.700000000000000000e+04;0.000000000000000000e+00;-4.739876809872055787e+02;1.554564059689733426e+02;-5.372695542537679785e+02;9.458020282152055369e-01;-1.232761606916326746e+00;2.150914117070424709e+03;1.318515134341735895e-01
2.800000000000000000e+04;0.000000000000000000e+00;-3.226997814066256524e+03;7.876899961888641144e+01;1.444315458286274056e+00;-4.540026749784983551e+00;2.892330183810714939e+00;1.773249413923066697e+02;-1.803306844839918516e-02
2.900000000000000000e+04;0.000000000000000000e+00;-3.057033796230068674e+02;1.321489877949608882e+01;-1.208844038774327419e-05;1.119509257959048121e+01;-7.976253761950931054e-01;6.669713521117038226e+02;-5.167986206215462869e-02
3.000000000000000000e+04;0.000000000000000000e+00;-1.001448516675085443e+03;1.575458509223345800e+03;-2.340021189231280459e+03;5.748902399509768779e-01;1.628333463032842487e-01;3.187362639185118496e+03;1.392185511391728914e-01
3.100000000000000000e+04;0.000000000000000000e+00;-3.010657040715838662e+02;9.837980895324971442e+00;-5.053010077322881094e-06;1.193052988159620753e+01;-8.100619190147936299e-01;6.694188390578216286e+02;-4.924072330804617204e-02
3.200000000000000000e+04;0.000000000000000000e+00;-2.320625468716501985e+02;9.903307040890156898e+00;-1.730245750868742945e-06;1.286778359559526663e+01;-1.085438062502286360e+00;6.725139765546558692e+02;-5.818035650997539082e-02
3.300000000000000000e+04;0.000000000000000000e+00;1.183831980367144041e+02;2.793961158245927123e+01;7.768015220306268009e-02;-6.793641529924721922e+00;4.632945688712675647e+00;-1.261904825267845087e+00;1.727804861092844813e-01
3.400000000000000000e+04;0.000000000000000000e+00;5.084533981312210571e+00;1.596577398596927821e+01;1.983147937110263115e+01;-6.904263530019755457e+00;-1.286614851984735131e+00;-4.913548561469904996e+01;7.473963841087326587e-01
