# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.300000000000000000e+04;0.000000000000000000e+00;-1.303260741398332243e+02;3.636615546502682150e+01;-7.631081500911400569e-06;1.173303075643037907e+01;-1.651863079984726701e+00;7.459010627181573909e+02;-3.873398717150773884e-01
1.400000000000000000e+04;0.000000000000000000e+00;-2.920074696081313732e+02;8.615376908549515989e+00;-1.815240728526996942e-06;1.304962441370648563e+01;-8.068040487982374165e-01;6.795047089722470446e+02;-6.140660823518555994e-02
1.500000000000000000e+04;0.000000000000000000e+00;-3.241349350630257504e+02;1.161448276020739989e+01;-3.789817527901440269e-06;1.182516715539009589e+01;-6.965526203970658914e-01;6.687232442294941848e+02;-7.270950098546932749e-02
1.600000000000000000e+04;0.000000000000000000e+00;1.005770706559223093e+01;-6.497371062387977680e+00;1.654958202278645762e-01;1.413728415368777291e+01;-9.767501846938252186e+00;-1.450221036234451276e+03;5.517899765189413053e+00
1.700000000000000000e+04;0.000000000000000000e+00;-2.822107896240050984e+00;-1.205620074329008418e+01;-1.287996689392612325e+03;4.177489022864740775e+00;-7.221563830940161743e+00;1.985426816378741933e+04;1.596208914777760945e+00
1.800000000000000000e+04;0.000000000000000000e+00;1.002314210796234661e+01;-1.666651535182389310e+01;-3.985744180227246147e+01;6.962463795476931061e+00;-7.391252723399020397e+00;2.261606317390755521e+03;2.947480668457646225e+00
1.900000000000000000e+04;0.000000000000000000e+00;-3.776196156588198960e+02;-8.595658094713298780e-02;5.145704516235767382e-07;1.144773969091584753e+01;-6.678697866317927501e-01;7.524849427970067381e+02;-4.040504605653477688e-02
2.000000000000000000e+04;0.000000000000000000e+00;-1.152647725321815564e+01;1.924764163182472032e+01;-8.951885605862069042e+02;2.824788981246634467e+00;-6.883653391692334367e+00;1.965672100221520668e+04;-2.983296371564393645e+00
2.100000000000000000e+04;0.000000000000000000e+00;1.053365659284135347e+01;-1.452533549877787422e+01;-1.526387438273479891e+00;1.150371882854417827e+01;-1.029870569584864981e+01;6.286080267740397858e+02;5.239803407204756347e+00
2.200000000000000000e+04;0.000000000000000000e+00;-3.564604797254332880e+02;1.580023075323149784e-01;-4.724227949243611224e-01;3.002202763636059757e+00;-7.803498266819416385e-01;7.960304742059717000e+02;-2.998769229686838039e-02
2.300000000000000000e+04;0.000000000000000000e+00;8.459411006985113772e+02;-4.234107698254266552e+02;-3.207845350989941391e+00;-1.184598420904730887e+00;4.742023454721794096e+00;-4.102441185093491427e+00;-3.963837626300578676e-01
2.400000000000000000e+04;0.000000000000000000e+00;-3.125836945786858792e+02;-7.336953549072966485e-01;-6.701057957309311476e-05;9.247224717959483087e+00;-7.259931551069133127e-01;6.636361367982183310e+02;-5.148518332563676442e-02
2.500000000000000000e+04;0.000000000000000000e+00;9.816489855320442715e+00;-1.662165764614801233e+01;-1.018929640619143320e+05;1.531296283949970771e+01;-2.812489767578128763e+01;2.846982256131813598e-05;2.444578425585120485e+01
2.600000000000000000e+04;0.000000000000000000e+00;-4.566330475106090034e+02;3.893151220440275750e+01;1.807297214456618661e+01;-9.899406248356540061e+01;-1.226615456165852880e+00;1.535655758984120666e+03;-9.288554244121864645e-02
2.700000000000000000e+04;0.000000000000000000e+00;-3.086295189643673780e+02;1.746392403910352797e+01;-2.203060680829036264e-06;1.257040341556503549e+01;-7.739548249177216066e-01;6.688119633170553016e+02;-7.789559325202541351e-02
2.800000000000000000e+04;0.000000000000000000e+00;-2.956466889526393516e+02;1.229067804170983536e+01;-2.426553948888667166e-06;1.259285664414990613e+01;-8.255031271778355828e-01;6.705044733480494870e+02;-5.997273445301454231e-02
