# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;1.161064580170084604e+01;-2.138885621932949448e+02;-7.657384453272429707e-07;1.350989179758063052e+01;-1.071253158717708542e+00;-1.032171927749311635e+03;-1.775896482107942376e+00
1.200000000000000000e+04;0.000000000000000000e+00;-5.103411906182210487e+02;-7.212553003600594081e+01;-1.359126803825679020e-02;4.177805638009203903e+00;6.726209516097386043e+00;3.096775143557958243e-01;1.431960741838203433e+00
1.300000000000000000e+04;0.000000000000000000e+00;-4.091477977585224721e+02;-8.579883002806101899e+01;-5.718155990300506502e-06;1.161519892411186561e+01;-1.023855167189751558e+00;7.272978688909214497e+02;-4.629691931130594518e-03
1.400000000000000000e+04;0.000000000000000000e+00;-3.657026127767820753e+02;5.878435484907210196e+01;-2.278459008005873575e-06;1.374229791183371496e+01;-2.161817224922930158e+00;1.460046060262246328e+03;-7.673854469975401882e-01
1.500000000000000000e+04;0.000000000000000000e+00;-4.596236239397433678e+02;-1.505738047320637563e+01;-1.943771841647201942e-06;1.190855398525352093e+01;-9.705097969927802826e-01;7.233487062346325729e+02;-7.232583663959347986e-02
1.600000000000000000e+04;0.000000000000000000e+00;1.590510975796839261e+02;2.057176879564595993e+02;-3.645363263235599049e+01;4.292172945213260093e-01;2.328033551613658769e+00;3.647016923107363251e+00;-6.017184138865086851e+00
1.700000000000000000e+04;0.000000000000000000e+00;-4.511636380570400320e+02;-2.888077043636093677e+01;-2.019492761371783298e-06;1.164080204043669653e+01;-9.005283475838310459e-01;6.968914804246496715e+02;-1.600689799673853803e-02
1.800000000000000000e+04;0.000000000000000000e+00;-4.073980749412969544e+02;-3.113314601726881392e+01;-4.825780063281767013e-06;1.194667294139116898e+01;-1.175996393070859902e+00;8.018992364791982936e+02;-7.114844419072749535e-04
1.900000000000000000e+04;0.000000000000000000e+00;-2.016310054527986608e+02;6.814846674306251018e+00;-7.835448330461607715e-06;1.399933346811842227e+01;-4.208845012331482671e+00;3.055991834093775651e+03;-1.407203984851182366e+00
2.000000000000000000e+04;0.000000000000000000e+00;-4.320919250824105120e+02;-2.093519883865532449e+01;-9.727131915400014117e-07;1.124479088182969910e+01;-9.087529692150354554e-01;7.056184644024436921e+02;-2.098789670056182624e-02
2.100000000000000000e+04;0.000000000000000000e+00;-1.891774302684414124e+02;4.837637277378286527e+00;-2.646742632771404999e-05;8.632996909990643175e+00;3.076040379980934936e-01;3.319706300346493322e+01;-9.929301054925756542e-01
2.200000000000000000e+04;0.000000000000000000e+00;-1.851309363283664879e+02;2.213106095440485532e+00;-3.224099048775132250e-06;1.145547386134597190e+01;-1.584213204574217659e+00;2.276559329757171497e+02;-7.212779887024558523e-01
2.300000000000000000e+04;0.000000000000000000e+00;-4.318014048637875817e+02;-6.433177906514292665e+00;4.475589310880624105e-06;1.105986829713690867e+01;-8.366219265810516115e-01;6.916241989053661428e+02;-5.066566249601243965e-02
2.400000000000000000e+04;0.000000000000000000e+00;-4.244083061776373142e+02;-5.228934367672347427e+00;-4.562108625259210996e-07;1.130650389772840647e+01;-8.401424327172279938e-01;6.880151399442572711e+02;-4.801270167429595032e-02
2.500000000000000000e+04;0.000000000000000000e+00;-4.213209978907382833e+02;-4.905768732361561746e+00;-3.444994998501152242e-07;1.137751506645342481e+01;-8.312025260073514499e-01;6.857651855384303872e+02;-4.376171365147902420e-02
2.600000000000000000e+04;0.000000000000000000e+00;-3.990221451077794086e+02;-2.459052265027862560e+00;2.505972501810359920e-07;1.162101941264009142e+01;-1.003395990944360383e+00;7.653638811369929726e+02;-5.149767768947915991e-02
2.700000000000000000e+04;0.000000000000000000e+00;-3.981958672754645931e+02;-8.303006939240572537e-01;2.654727965604226988e-08;1.155605764650287171e+01;-9.682290008941695225e-01;7.469611681436169874e+02;-5.226088862097536675e-02
2.800000000000000000e+04;0.000000000000000000e+00;-3.964376687205486860e+02;-1.400043773743237185e+00;1.127394714261779860e-07;1.136525499957957841e+01;-9.072856004833425025e-01;7.091488195989024916e+02;-4.729953914890417527e-02
2.900000000000000000e+04;0.000000000000000000e+00;-3.946680824643022447e+02;-1.594383559312511078e+00;-1.711113620234927423e-06;1.127852856740583398e+01;-9.048602566276948700e-01;7.122685243847640777e+02;-4.273852820121126078e-02
3.000000000000000000e+04;0.000000000000000000e+00;-3.918975748406346611e+02;-9.610872887993644476e-01;-1.403706275539245528e-06;1.131510165164792703e+01;-8.951423461394824033e-01;7.066829944761730076e+02;-4.120189253101549237e-02
3.100000000000000000e+04;0.000000000000000000e+00;-3.896516349294873862e+02;-5.743888566811864438e-01;-9.703964126968696379e-07;1.132259354627932524e+01;-8.865753734392085583e-01;7.032067808928134127e+02;-3.991574349001728722e-02
3.200000000000000000e+04;0.000000000000000000e+00;-3.846566543296425493e+02;-2.942971826656337164e+00;-4.415651733592316651e-06;1.135495139200357428e+01;-8.830430901674359845e-01;6.973402167926258244e+02;-2.914403309116810753e-02
3.300000000000000000e+04;0.000000000000000000e+00;-3.828951443198905054e+02;-2.333952417598236906e+00;-3.993720132218627839e-06;1.134899067316685795e+01;-8.760257794452155355e-01;6.950703129678919368e+02;-2.871506622990473503e-02
3.400000000000000000e+04;0.000000000000000000e+00;-3.799722129104331430e+02;-3.440432074067646173e+00;-3.807946644201363241e-06;1.134387771080856311e+01;-8.724776899838602162e-01;6.932645865598034334e+02;-2.441426906228066560e-02
3.500000000000000000e+04;0.000000000000000000e+00;-3.787325441323367841e+02;-2.205205486345686694e+00;-3.466499690095573810e-06;1.133505288783221232e+01;-8.658847696623194201e-01;6.914448683993397253e+02;-2.578322757585044603e-02
3.600000000000000000e+04;0.000000000000000000e+00;-3.765380037989518769e+02;-2.406882310672021408e+00;-3.119201474115997541e-06;1.132456684406006708e+01;-8.618685183059566768e-01;6.899776087615950928e+02;-2.436728798180790370e-02
3.700000000000000000e+04;0.000000000000000000e+00;-3.740658404818977374e+02;-3.040010854879592106e+00;-3.143669296109985189e-06;1.131511435906892515e+01;-8.590356261584929376e-01;6.885466864466503694e+02;-2.142435352206661925e-02
3.800000000000000000e+04;0.000000000000000000e+00;-3.723000866872968118e+02;-2.907172547193470624e+00;-2.924676327535536500e-06;1.130204023231496180e+01;-8.553632069031623653e-01;6.872831505775423011e+02;-2.053740859972356600e-02
3.900000000000000000e+04;0.000000000000000000e+00;-3.705300973870583334e+02;-2.816024696207751532e+00;-2.740446489511520260e-06;1.128798511796925297e+01;-8.520863340255107055e-01;6.861960915922679760e+02;-1.981638126680674086e-02
4.000000000000000000e+04;0.000000000000000000e+00;-3.684802181036373554e+02;-3.138819283017216133e+00;-2.774946067877739404e-06;1.127499913560176381e+01;-8.496746735929607830e-01;6.850769730692926487e+02;-1.795560385941757237e-02
4.100000000000000000e+04;0.000000000000000000e+00;-3.671626029113771779e+02;-2.569238852860144640e+00;-2.458820455426455096e-06;1.125778156116467699e+01;-8.460094503677590971e-01;6.841006549102158942e+02;-1.866335194343807583e-02
4.200000000000000000e+04;0.000000000000000000e+00;-3.651959804282744813e+02;-2.979560923572834863e+00;-2.391273691059635613e-06;1.124120629008172756e+01;-8.438836847596643542e-01;6.831961298610680160e+02;-1.714855629867142670e-02
4.300000000000000000e+04;0.000000000000000000e+00;-3.639540645226412039e+02;-2.450093882775358001e+00;-2.171290339104960162e-06;1.122308886139107109e+01;-8.407368611596027774e-01;6.823813662552134929e+02;-1.774882977440789267e-02
4.400000000000000000e+04;0.000000000000000000e+00;-3.622760082083189559e+02;-2.681587504887742224e+00;-2.140926259683143695e-06;1.120445594586189131e+01;-8.386225646533721489e-01;6.815307760571505469e+02;-1.650290026765256768e-02
4.500000000000000000e+04;0.000000000000000000e+00;-3.608290602799428939e+02;-2.664435731465560231e+00;-1.995217537083943884e-06;1.118245740408724131e+01;-8.361193195900059605e-01;6.807657567188006169e+02;-1.615928100521564492e-02
