# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;-1.216641211313377653e+02;-3.017922723159058052e+01;-3.548013824215023957e-03;1.191640673047675847e+01;-3.446211023087791148e+00;6.111313265081392387e+00;4.749761001408463024e+00
1.200000000000000000e+04;0.000000000000000000e+00;-2.578240601318212839e+02;-2.356081801646152840e+01;-1.547865436998913171e-06;1.392947155467002673e+01;-2.228702028530739288e+00;1.312984112695245585e+03;-1.084180399572161856e-02
1.300000000000000000e+04;0.000000000000000000e+00;-1.822149174164061378e+02;1.368991066040628901e+01;-7.861458159997240244e-07;1.519075910580440336e+01;-3.604405824996979035e+00;2.187622750109640947e+03;-5.577707508848188667e-01
1.400000000000000000e+04;0.000000000000000000e+00;-3.986947069639326742e+02;-1.610242677770998387e+00;-2.478914432367123499e-06;1.132955764515645924e+01;-9.170067136314811185e-01;7.111612981286675677e+02;-4.138094488588927450e-02
1.500000000000000000e+04;0.000000000000000000e+00;-3.935332438890079629e+02;-5.186339475007824440e+00;-1.889388189870847598e-06;1.126783181656028354e+01;-9.131383984430193612e-01;7.140885703840165206e+02;-3.059201901184424588e-02
1.600000000000000000e+04;0.000000000000000000e+00;-1.169760826192105014e+02;1.773589153439266397e+01;-5.832960751367771479e+01;2.149823284624062580e+00;-3.464469323465966699e+00;5.764143581085396590e+02;-3.484778769345752369e+00
1.700000000000000000e+04;0.000000000000000000e+00;-3.829198309124763568e+02;-6.987595248419378180e+00;-7.406860137193048655e-07;1.132085400909560491e+01;-8.901770364763632593e-01;7.026438381258175241e+02;-2.460742962928784416e-02
1.800000000000000000e+04;0.000000000000000000e+00;-3.767825243225255463e+02;-8.620439553406686883e+00;-3.530363055494546996e-06;1.134142233786004894e+01;-8.802870318529332216e-01;6.947734291647420832e+02;-1.907064250368450259e-02
1.900000000000000000e+04;0.000000000000000000e+00;-3.758207825761307959e+02;-5.177728176067082799e+00;-1.892128370370944586e-06;1.131698718209152865e+01;-8.658671674227140791e-01;6.920862084741455647e+02;-2.711555235061113844e-02
2.000000000000000000e+04;0.000000000000000000e+00;-1.137191389917861812e+02;5.476679131640947773e+00;-3.678275787553452034e-05;1.372643013132410239e+01;-6.576102873199509702e+00;2.329250968099175952e+04;-7.630417697971886293e-01
2.100000000000000000e+04;0.000000000000000000e+00;-1.141112602087472254e+02;4.298206122327176359e+00;-1.430456783037390131e-05;1.229400214812284808e+01;-4.019016160390471271e+00;2.039816703069381674e+03;-5.484326502755834110e-01
2.200000000000000000e+04;0.000000000000000000e+00;-3.707766984275731375e+02;5.962881391155463451e-01;1.357730717559950905e-06;1.121528777341665162e+01;-8.368170835419199705e-01;6.862038923866786035e+02;-3.997933275103881384e-02
2.300000000000000000e+04;0.000000000000000000e+00;-3.664239754682984085e+02;-3.802422050833638434e-02;-1.384005707235115866e-06;1.124998067946375890e+01;-8.355157285081251661e-01;6.831838757312178814e+02;-3.560227418721796655e-02
2.400000000000000000e+04;0.000000000000000000e+00;-3.655510229955689283e+02;2.021689586924123816e+00;-3.217469007498370915e-07;1.118018265062177186e+01;-8.260693110488743773e-01;6.808809256732054109e+02;-3.991157728099955365e-02
2.500000000000000000e+04;0.000000000000000000e+00;-3.643626993407023633e+02;3.445256671433452933e+00;4.509256496958655394e-07;1.113890172090019881e+01;-8.204717507959415901e-01;6.804973068429681007e+02;-4.307077265060887949e-02
2.600000000000000000e+04;0.000000000000000000e+00;-3.622868047825185158e+02;3.244065553235487620e+00;5.737779842405704722e-07;1.108801917514322533e+01;-8.174820744752867574e-01;6.796378829656497373e+02;-4.019309494124132659e-02
2.700000000000000000e+04;0.000000000000000000e+00;-4.829520457252594383e+02;4.160433406999642258e+00;1.847645140481280789e-07;1.227664837364820194e+01;-6.475610967219895819e-01;8.083203439372368848e+02;-2.929644555910884685e-02
2.800000000000000000e+04;0.000000000000000000e+00;-1.749137335263631940e+03;5.123285575603138113e+02;1.614854828363090133e+00;-8.348266704923991144e-01;5.959235624314990432e+00;2.753793212146679714e+00;-1.696080329407733400e-01
