# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;3.238120753508951566e+02;-1.245203755808083628e+02;-8.688585383604588549e-05;1.099127905480069778e+01;-1.266057315594439903e+00;-2.300187737721645590e+03;-3.474400678694365974e-01
1.200000000000000000e+04;0.000000000000000000e+00;-2.806869090718058146e+02;2.089226496154164181e+01;-1.137043536357547779e+01;1.050039196364448024e+01;-8.940331571995542959e+00;1.360583382230792813e+04;3.893839643457609689e+00
1.300000000000000000e+04;0.000000000000000000e+00;-2.531910711811911767e+02;-6.452524332777696436e+00;-1.091342996402171694e+00;6.966292552673156280e+00;-1.975593262059300415e+00;1.213103655836801664e+02;2.592796102275260139e+00
1.400000000000000000e+04;0.000000000000000000e+00;-7.674961785297784445e+03;8.801517310472176177e+03;-5.389671103688928611e+01;6.138588006144660714e-01;5.596459174073897813e+00;8.158156386914527047e+01;1.493083156018865931e-01
1.500000000000000000e+04;0.000000000000000000e+00;-1.312505825616225366e+02;-4.356288650124740514e+01;7.723727646366481459e+00;-4.802956363176821952e+00;-1.044460348581626841e+00;-1.280486260713529703e+02;-3.903563493837022502e+00
1.600000000000000000e+04;0.000000000000000000e+00;-1.650683863641895357e+02;3.226192832493307350e+01;-2.814363277660615950e+03;1.368164497495183873e+00;-5.751216923170844098e+00;9.010318567973050449e+03;-3.554401671125061224e+00
1.700000000000000000e+04;0.000000000000000000e+00;-2.259377856915459972e+02;-2.411073423648831238e+01;-4.755004157391958720e-07;1.460006246693072107e+01;-2.946444507172338412e+00;1.723789335622866020e+03;7.696962491628191183e-03
1.800000000000000000e+04;0.000000000000000000e+00;-1.750576196956620265e+02;1.162515789471916605e+01;-2.217674231845549555e-06;1.473333681529032724e+01;-4.631628380251311405e+00;4.437605538622176027e+03;-1.343040676259900090e+00
1.900000000000000000e+04;0.000000000000000000e+00;-4.051984003061855901e+02;-1.116086294522193789e+01;2.037825019685115414e-06;1.166661610042387132e+01;-9.628498705340636787e-01;7.363365237161277719e+02;-3.325203294616846383e-02
2.000000000000000000e+04;0.000000000000000000e+00;-9.925353026496070470e+02;3.344562198439521694e+02;1.619111467364488244e-01;-8.452815008815652842e-01;7.811627176595755451e+00;1.917071283598183462e-01;-3.060121945014259714e-01
2.100000000000000000e+04;0.000000000000000000e+00;-3.954097213319075763e+02;-5.689654396751592458e+00;3.047958572350921030e-06;1.160735438138613596e+01;-9.924711499628258160e-01;7.604811653791446133e+02;-4.290545932168078613e-02
2.200000000000000000e+04;0.000000000000000000e+00;-3.960023739708246922e+02;-1.516485142872338487e+00;4.463226426082604171e-06;1.153741209151791480e+01;-9.517843586357178642e-01;7.425776399602244737e+02;-5.150961322550493687e-02
2.300000000000000000e+04;0.000000000000000000e+00;-3.930730453725125244e+02;-2.323203980862704743e+00;1.803558274331347031e-06;1.130690613250926901e+01;-8.967955851213094132e-01;7.075292082551068233e+02;-4.434804124661915342e-02
2.400000000000000000e+04;0.000000000000000000e+00;-3.922931177610604436e+02;-2.845063176520360448e-01;2.611654802194826967e-06;1.123245157728875654e+01;-8.818417776036940881e-01;7.049201949352292331e+02;-4.762446328511434068e-02
2.500000000000000000e+04;0.000000000000000000e+00;-3.889987082650138177e+02;1.715146556889817486e-01;2.569270048834531898e-06;1.125637804417808674e+01;-8.727531304419644531e-01;6.999707377850079411e+02;-4.514609042391275195e-02
