# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;-2.954722704461266147e+01;-1.094879161057022721e+01;-6.979880248871447748e+02;4.477527587675550258e+00;-6.262847622539388759e+00;1.660993531454942058e+04;1.624544352426770422e+00
1.200000000000000000e+04;0.000000000000000000e+00;-3.043437732660245842e+02;-2.313331299988316200e-02;-3.223344517351191438e-08;1.084995311003911844e+01;-7.846242868045921748e-01;6.670033298890666629e+02;7.399758025901316452e-05
1.300000000000000000e+04;0.000000000000000000e+00;-1.007792294950904205e-05;9.965909191410140703e-06;-1.039321771740687836e+02;-6.040116341108922882e+01;-6.287977362640043033e+00;1.723127597298135470e+03;-1.919217036389982241e+02
1.400000000000000000e+04;0.000000000000000000e+00;-3.043437732660245842e+02;-2.313331299988316200e-02;-3.223344517351191438e-08;1.084995311003911844e+01;-7.846242868045921748e-01;6.670033298890666629e+02;7.399758025901316452e-05
1.500000000000000000e+04;0.000000000000000000e+00;-1.513234526920447934e+04;-4.247169844465877020e+01;-1.300121420567500012e-02;1.963563781967441191e+00;8.614270236023223504e+00;2.733911053627040122e+00;3.941284486130706283e-02
1.600000000000000000e+04;0.000000000000000000e+00;-2.300848824656108263e+03;2.947399094241243347e+02;-2.473205325337069493e-01;2.611430967393358227e+00;6.863651632732217678e+00;2.468733603694111878e+00;7.896759754960368527e-01
1.700000000000000000e+04;0.000000000000000000e+00;-1.500998161026377034e+02;1.114170912034415863e+02;1.251823252737401617e+02;-1.114191675177758967e+01;2.371150683533020498e+00;-1.246369492052547372e+02;-4.210719025812189642e+01
1.800000000000000000e+04;0.000000000000000000e+00;-1.422893954313886127e+02;-2.171981171971672353e+01;-4.406000369487383939e-01;7.315542268090871048e+00;-1.132202524831452450e+00;7.074925860595095628e+01;2.666942450889893568e+00
1.900000000000000000e+04;0.000000000000000000e+00;-4.538563025826401258e+02;1.042421732071102269e+02;9.252944448642595873e-06;1.125267618301665706e+01;-8.299400341357898725e-01;6.780771507993133582e+02;-3.168908760251636092e-02
2.000000000000000000e+04;0.000000000000000000e+00;-1.675814305071374406e+02;8.775577403117114272e+01;7.017004647417845326e-04;3.370128527312549238e+01;-3.111408334419946442e+01;-3.830694453996874508e+05;1.397690572607010573e+01
2.100000000000000000e+04;0.000000000000000000e+00;-4.005747629598945991e+02;-6.933652325089456170e+00;1.808279718548583032e-05;1.142953225164156450e+01;-9.021527306808726498e-01;6.815224415394005746e+02;1.154800709599042435e-01
2.200000000000000000e+04;0.000000000000000000e+00;-4.107461943547322676e+02;-3.024730949048525019e+00;1.526447086192503049e-05;1.151686062754634499e+01;-1.007511039353740090e+00;7.608289325781056505e+02;9.921783841710066221e-02
2.300000000000000000e+04;0.000000000000000000e+00;-4.149047984353401830e+02;-6.731323079711287960e+00;1.342064503364086351e-05;1.142289212494029016e+01;-9.919371109910241069e-01;7.470347940418768076e+02;1.034202098689844945e-01
2.400000000000000000e+04;0.000000000000000000e+00;-1.645028359584454165e+02;-1.133332209056715056e+00;1.788175531541422140e-05;1.101619779036300351e+01;-1.107303979762569668e+00;7.360155944790314209e+01;6.136484952444725138e-01
2.500000000000000000e+04;0.000000000000000000e+00;-1.754264243087383193e+02;-1.110495490555122089e+00;1.014354448319812344e-04;9.411623213403725430e+00;-2.208214183540017916e-01;4.458556003777148646e+01;3.618533620170851228e-01
2.600000000000000000e+04;0.000000000000000000e+00;-4.152639507356963122e+02;-3.875341142936433947e+00;1.282830015063297033e-05;1.149966794482447696e+01;-9.927576053040216841e-01;7.493763479763831583e+02;5.543818962541288697e-02
2.700000000000000000e+04;0.000000000000000000e+00;-4.248317282374385400e+02;-1.546217980095784128e+01;8.284817132040266636e-07;1.328184396240047072e+01;-1.250161029317759631e+00;1.026434211723795215e+03;7.048135424735584020e-02
2.800000000000000000e+04;0.000000000000000000e+00;-1.522341603243793884e+02;2.880374985328080939e+01;2.079683341072600586e-04;1.378049830802345532e+01;-7.613764875340304883e+00;5.162815480519501580e+04;-4.315649610409365344e+00
2.900000000000000000e+04;0.000000000000000000e+00;-1.941713973589483260e+02;6.297431700607073424e+01;6.003937831631335342e+01;-7.469713467060368828e+01;-1.980859693611594530e+00;4.416742800514533656e+02;-1.844573970768242477e+00
3.000000000000000000e+04;0.000000000000000000e+00;-2.234725780552579693e+02;8.197284139925739055e+01;5.369642835191878127e+00;-1.097247828809459769e+01;9.538496004150870400e-01;3.352101166066918836e+01;-1.369879843655498641e+00
3.100000000000000000e+04;0.000000000000000000e+00;4.233373857911511777e+02;9.888124981210863780e+02;-1.602613807472993557e+01;5.102739042296146055e-01;4.793793920280251086e+00;1.152461629036294610e+01;1.970829354702068881e-01
3.200000000000000000e+04;0.000000000000000000e+00;-4.030153199307285945e+02;1.785090968140743195e+00;6.313597236822883748e-06;1.143546726045930306e+01;-9.221744325973100231e-01;7.191575317026758967e+02;5.781014386729232089e-03
3.300000000000000000e+04;0.000000000000000000e+00;-4.034421318584284109e+02;5.165974994003625476e+00;6.067966122468098253e-06;1.142243891248324239e+01;-9.109181071335900048e-01;7.159785984203159614e+02;-2.243192202178931338e-03
3.400000000000000000e+04;0.000000000000000000e+00;-4.016016565926206567e+02;5.139875371253434189e+00;5.613014542083475843e-06;1.126721858596086534e+01;-8.978321669757974854e-01;7.079542944539236942e+02;-6.415934751767492748e-04
3.500000000000000000e+04;0.000000000000000000e+00;-3.999588238073120010e+02;5.537259076489642773e+00;4.128708297594174859e-06;1.130268824652964810e+01;-8.976413713493711644e-01;7.087627746081046780e+02;-8.603740598487388249e-06
