# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;-8.730600409290190100e-10;6.939985530696191063e-10;5.328313600692966929e+02;-2.175743700143016879e-01;-2.966063010180667092e+01;5.782696493474389854e+02;8.046524178974983066e-01
1.200000000000000000e+04;0.000000000000000000e+00;-3.043437732660245842e+02;-2.313331299988316200e-02;-3.223344517351191438e-08;1.084995311003911844e+01;-7.846242868045921748e-01;6.670033298890666629e+02;7.399758025901316452e-05
1.300000000000000000e+04;0.000000000000000000e+00;-1.193102403400048672e+02;6.364537907131980887e+01;1.449792345642467524e+02;-2.044169672092239580e+03;-2.582887337269567318e+00;1.328135280158789556e+03;-5.917423699659137837e-01
1.400000000000000000e+04;0.000000000000000000e+00;-4.738598776199729201e+01;-6.051133787531774111e+00;-6.483307772174998762e-01;5.774571828596671175e+00;-7.095511379353907078e-01;4.011079685936319805e+01;2.055042683259920455e+00
1.500000000000000000e+04;0.000000000000000000e+00;5.541614668526198528e+01;-9.640805390158821808e+01;5.138768508319541297e+02;2.276936895493470114e+00;-4.931146616333572652e+00;-1.484454159584694753e+04;-2.872025200670969003e+00
1.600000000000000000e+04;0.000000000000000000e+00;-3.742064701788179377e+02;5.309301177510345582e+01;1.086522715443637337e-06;1.113158137525387481e+01;-8.010213966577537370e-01;6.678760152826365584e+02;-3.702435376305099075e-03
1.700000000000000000e+04;0.000000000000000000e+00;-7.021132258981232610e+01;5.693298284088597061e-01;-2.548210989712141640e-05;1.345223101783813746e+01;-5.230289234069183557e+00;2.346519453181297195e+03;9.368203081698985857e-01
1.800000000000000000e+04;0.000000000000000000e+00;-6.990787709746909684e+01;8.605248514686628880e+00;9.599810491107888311e+02;-7.321154131688865618e+02;-6.155031372976192294e+00;1.101470177891561207e+03;1.640008910706077794e+00
1.900000000000000000e+04;0.000000000000000000e+00;-3.512230234890320730e+02;-2.705767605418567534e+00;1.623537653954835064e-05;1.130752781099949722e+01;-8.693563478124272104e-01;6.701527004267175016e+02;5.582752087648852612e-02
2.000000000000000000e+04;0.000000000000000000e+00;-3.781977773956380702e+02;-2.387153679811649942e-01;1.408606695205625324e-05;1.127284693670611304e+01;-7.953217420994532771e-01;6.746970447190636833e+02;4.040469429999136997e-02
2.100000000000000000e+04;0.000000000000000000e+00;-3.758401298681811795e+02;6.279976554848495374e-01;8.330555173394396578e-06;1.142269598687360421e+01;-8.158575546465188788e-01;6.767310865388983530e+02;3.995604982895099855e-02
2.200000000000000000e+04;0.000000000000000000e+00;-3.797195122715040156e+02;-2.399180727330399776e+00;5.759776793129321910e-06;1.134546421469446287e+01;-8.004201906476480222e-01;6.731404166887253950e+02;4.665952886994862575e-02
2.300000000000000000e+04;0.000000000000000000e+00;-3.813822039260266479e+02;-3.651682703717827216e+00;5.241558814749879775e-06;1.132235913172375774e+01;-7.947252981502752611e-01;6.730839196415264496e+02;4.640195992690196447e-02
2.400000000000000000e+04;0.000000000000000000e+00;-3.638767541826365459e+02;-2.857047842747376887e+00;5.623559197046197115e-06;1.134555551516591620e+01;-8.543472235242609569e-01;6.736772553344574135e+02;4.386133414417082294e-02
2.500000000000000000e+04;0.000000000000000000e+00;-3.639417813423807502e+02;-2.000878963300174007e+00;5.696621703825881975e-06;1.132586183752398235e+01;-8.520365971754884082e-01;6.735226082213987411e+02;3.895584847498874403e-02
2.600000000000000000e+04;0.000000000000000000e+00;-3.632572697291107602e+02;-1.795262828024354773e+00;4.994050783427589058e-06;1.131287789587966408e+01;-8.513483882290363569e-01;6.734268813260046045e+02;3.682050287435306712e-02
2.700000000000000000e+04;0.000000000000000000e+00;-3.619501835186141534e+02;-2.333037802680387074e+00;4.240869719409283226e-06;1.130847305198118846e+01;-8.513078800597931872e-01;6.732327998956146757e+02;3.665220123321825951e-02
2.800000000000000000e+04;0.000000000000000000e+00;-3.603083602779872763e+02;-3.163822277706236363e+00;3.860124775482858208e-06;1.130370635310149119e+01;-8.509479103349861795e-01;6.730476167156438123e+02;3.640755331362970082e-02
