# Velocity (m/s);Min zangle (rad);x1;x2;x3;x4;x5;x6;x7
1.100000000000000000e+04;0.000000000000000000e+00;4.234302398372992826e+01;-2.869542910319406914e+01;-1.103877938535567260e+01;-1.119022328840684821e+01;-7.575343877073049681e-01;-7.928804600247453038e+01;-1.104031145233430822e+00
1.200000000000000000e+04;0.000000000000000000e+00;-5.676731341841827927e+00;-8.603195129746437075e+00;-1.327884280738382188e+02;6.201506577805939280e+00;-7.148106618886273189e+00;8.362374067691869641e+03;2.348936925860756642e+00
1.300000000000000000e+04;0.000000000000000000e+00;-3.014476751250639950e+02;-1.460065701257050996e+01;1.816679677847669471e-06;1.110172452085509498e+01;-7.635091737144437118e-01;6.669787860090228833e+02;1.580088073085146594e-02
1.400000000000000000e+04;0.000000000000000000e+00;-1.162282456956437393e+01;9.096120127332664396e+00;2.421643174614460179e+02;-4.321971640235868328e+00;-5.481853615556872006e-01;-1.949031290244237482e+02;-2.717266011157641259e+01
1.500000000000000000e+04;0.000000000000000000e+00;-3.102883340115399164e+02;-2.258479208233310498e-02;-3.220674792372898862e-08;1.082178360314141408e+01;-7.657633700694677081e-01;6.673249309575412553e+02;7.139242594767685260e-05
1.600000000000000000e+04;0.000000000000000000e+00;-2.105470087515143121e+02;2.788062198240670497e+01;-1.942272929463560380e-02;9.329027234780571831e+00;-2.102627280199490661e-02;1.083112612557775201e+01;3.462406793658380000e+00
1.700000000000000000e+04;0.000000000000000000e+00;-1.979412676932059583e+02;2.810875144261412117e+01;-1.623764736313505416e-02;1.003857081477032587e+01;-8.396247509722574165e-01;1.443357868545041001e+01;3.730841760228593262e+00
1.800000000000000000e+04;0.000000000000000000e+00;6.076389814951825201e+02;-3.446474177550360878e+02;-5.763986815858311274e+02;-6.218265710453800210e+01;-2.441888292880388889e+00;-8.253611358141512028e+03;-8.203308660242865091e-01
1.900000000000000000e+04;0.000000000000000000e+00;4.254480023308091745e+02;-4.471421864062634910e+01;-4.238011517789807989e-05;9.681467094539160101e+00;3.843196928452281558e-01;-3.973713924791622389e+02;-2.575101619873669812e-01
2.000000000000000000e+04;0.000000000000000000e+00;1.034973755230038392e+02;-9.392074535585837225e+01;7.374724938653507442e-05;1.213042278403007046e+01;-3.181600161716408692e+00;-5.534486494323586157e+03;-1.041691176974669064e+00
2.100000000000000000e+04;0.000000000000000000e+00;-2.593528264902628848e+02;9.880507901771147772e+01;1.171976964226681048e+04;2.280424674568701463e-06;-4.993477497465511838e+00;7.422991003474417994e+03;-9.791672703398630162e+00
2.200000000000000000e+04;0.000000000000000000e+00;-4.227170150998750842e+02;3.764821073268672791e+01;2.067688359846200669e-05;1.136551396234940015e+01;-8.392475493074731396e-01;6.796398276572298300e+02;5.614284202431165348e-03
2.300000000000000000e+04;0.000000000000000000e+00;-3.944805064192776740e+02;-5.747201014290585164e+00;1.616610809861415018e-05;1.135604944639802660e+01;-8.863745975615595629e-01;6.807142498309049188e+02;8.201830385712075011e-02
2.400000000000000000e+04;0.000000000000000000e+00;-3.988644124213990949e+02;-3.886414787055042286e+00;1.532949306228305466e-05;1.140690734312619270e+01;-9.548527464129107356e-01;7.381349198875425373e+02;6.674352904761446381e-02
2.500000000000000000e+04;0.000000000000000000e+00;-4.011214761478714763e+02;-3.255631739833830363e+00;1.349780227473634285e-05;1.132069861951601730e+01;-9.225408136233080869e-01;7.219084687403523048e+02;5.739157190305365502e-02
2.600000000000000000e+04;0.000000000000000000e+00;-4.170964826657386766e+02;-2.526457566657459353e+00;9.074691923391037994e-06;1.131769133456851506e+01;-8.097093812795554957e-01;6.829685524703859301e+02;4.896644865672827168e-02
